3.67394e-17 0
0.0188465 0.000296064
0.0376743 0.00118396
0.056465 0.00266282
0.0751999 0.00473118
0.0938607 0.007387
0.112429 0.0106276
0.130886 0.0144499
0.149214 0.0188501
0.167395 0.0238238
0.18541 0.0293661
0.203243 0.0354715
0.220875 0.0421341
0.238289 0.0493472
0.255468 0.0571038
0.272394 0.0653961
0.289052 0.074216
0.305425 0.0835548
0.321496 0.0934032
0.33725 0.103752
0.352671 0.11459
0.367744 0.125907
0.382454 0.137692
0.396787 0.149933
0.410728 0.162619
0.424264 0.175736
0.437381 0.189272
0.450067 0.203213
0.462308 0.217546
0.474093 0.232256
0.48541 0.247329
0.496248 0.26275
0.506597 0.278504
0.516445 0.294575
0.525784 0.310948
0.534604 0.327606
0.542896 0.344532
0.550653 0.361711
0.557866 0.379125
0.564528 0.396757
0.570634 0.41459
0.576176 0.432605
0.58115 0.450786
0.58555 0.469114
0.589372 0.487571
0.592613 0.506139
0.595269 0.5248
0.597337 0.543535
0.598816 0.562326
0.599704 0.581154
0.6 0.6
0.6 0.6
0.6 0.6222
0.6 0.6444
0.6 0.6666
0.6 0.6888
0.6 0.711
0.6 0.7332
0.6 0.7554
0.6 0.7776
0.6 0.7998
0.6 0.822
0.6 0.8442
0.6 0.8664
0.6 0.8886
0.6 0.9108
0.6 0.933
0.6 0.9552
0.6 0.9774
0.6 0.9996
0.6 1.0218
0.6 1.044
0.6 1.0662
0.6 1.0884
0.6 1.1106
0.6 1.1328
0.6 1.155
0.6 1.1772
0.6 1.1994
0.6 1.2216
0.6 1.2438
0.6 1.266
0.6 1.2882
0.6 1.3104
0.6 1.3326
0.6 1.3548
0.6 1.377
0.6 1.3992
0.6 1.4214
0.6 1.4436
0.6 1.4658
0.6 1.488
0.6 1.5102
0.6 1.5324
0.6 1.5546
0.6 1.5768
0.6 1.599
0.6 1.6212
0.6 1.6434
0.6 1.6656
0.6 1.6878
0.6 1.71
0.6 1.71
0.601047 1.74135
0.604058 1.77258
0.609021 1.80356
0.615917 1.83416
0.624719 1.86427
0.635391 1.89377
0.647893 1.92254
0.662174 1.95047
0.678178 1.97745
0.695844 2.00338
0.7151 2.02814
0.735871 2.05165
0.758076 2.07381
0.781627 2.09454
0.80643 2.11374
0.83239 2.13136
0.859403 2.14731
0.887363 2.16153
0.916161 2.17398
0.945681 2.18459
0.97581 2.19333
1.00643 2.20017
1.03741 2.20507
1.06864 2.20802
1.1 2.209
1.13136 2.20802
1.16259 2.20507
1.19357 2.20017
1.22419 2.19333
1.25432 2.18459
1.28384 2.17398
1.31264 2.16153
1.3406 2.14731
1.36761 2.13136
1.39357 2.11374
1.41837 2.09454
1.44192 2.07381
1.46413 2.05165
1.4849 2.02814
1.50416 2.00338
1.52182 1.97745
1.53783 1.95047
1.55211 1.92254
1.56461 1.89377
1.57528 1.86427
1.58408 1.83416
1.59098 1.80356
1.59594 1.77258
1.59895 1.74135
1.6 1.71
1.6 1.71
1.6 1.661
1.6 1.612
1.6 1.563
1.6 1.514
1.6 1.465
1.6 1.416
1.6 1.367
1.6 1.318
1.6 1.269
1.6 1.22
1.6 1.171
1.6 1.122
1.6 1.073
1.6 1.024
1.6 0.975
1.6 0.926
1.6 0.877
1.6 0.828
1.6 0.779
1.6 0.73
1.6 0.681
1.6 0.632
1.6 0.583
1.6 0.534
1.6 0.485
1.6 0.436
1.6 0.387
1.6 0.338
1.6 0.289
1.6 0.24
1.6 0.191
1.6 0.142
1.6 0.093
1.6 0.044
1.6 -0.005
1.6 -0.054
1.6 -0.103
1.6 -0.152
1.6 -0.201
1.6 -0.25
1.6 -0.299
1.6 -0.348
1.6 -0.397
1.6 -0.446
